dataset,support,classifier,no_folds,reduce,no_features,accuracy,auc
p2p-0.3-2,0.8,Random forest,10,True,0.0,0.0,0.0
p2p-0.3-2,0.5,Random forest,10,True,0.0,0.0,0.0
p2p-0.3-2,0.5,Random forest,10,True,0.0,0.0,0.0
p2p-0.3-2,0.5,Random forest,10,True,0.0,0.0,0.0
