axis,ad,process_model,dataset_name,f1,precision,recall
Case,Bpic12DAE,BPIC12,bpic12-0.3-1,0.4406779661016949,1.0,0.2826086956521739
Case,Bpic12LTN,BPIC12,bpic12-0.3-1,0.6060606060606061,1.0,0.43478260869565216
Case,Bpic12LTNFROZEN,BPIC12,bpic12-0.3-1,0.626865671641791,1.0,0.45652173913043476
Case,Bpic12LTNFROZEN-10,BPIC12,bpic12-0.3-1,0.3170731707317073,1.0,0.18840579710144928
Case,Bpic12LTNFROZEN-100,BPIC12,bpic12-0.3-1,0.4406779661016949,1.0,0.2826086956521739
Case,Bpic12LTNFROZEN-150,BPIC12,bpic12-0.3-1,0.4046242774566474,1.0,0.2536231884057971
Case,Bpic12LTNFROZEN-200,BPIC12,bpic12-0.3-1,0.5081081081081081,1.0,0.34057971014492755
Case,Bpic12LTNFROZEN-25,BPIC12,bpic12-0.3-1,0.3373493975903615,1.0,0.2028985507246377
Case,Bpic12LTNFROZEN-250,BPIC12,bpic12-0.3-1,0.3859649122807018,1.0,0.2391304347826087
Case,Bpic12LTNFROZEN-300,BPIC12,bpic12-0.3-1,0.3571428571428571,1.0,0.21739130434782608
Case,Bpic12LTNFROZEN-350,BPIC12,bpic12-0.3-1,0.48351648351648346,1.0,0.3188405797101449
Case,Bpic12LTNFROZEN-400,BPIC12,bpic12-0.3-1,0.41379310344827586,1.0,0.2608695652173913
Case,Bpic12LTNFROZEN-50,BPIC12,bpic12-0.3-1,0.3859649122807018,1.0,0.2391304347826087
