axis,ad,process_model,dataset_name,f1,precision,recall
Case,MediumDAE,Medium,medium-0.3-1,0.1912511445933572,0.625,0.1128992628992629
Case,MediumDAE-Leaky-10,Medium,medium-0.3-1,0.2453511768916017,0.6041666666666666,0.15393120393120394
Case,MediumDAE-Leaky-100,Medium,medium-0.3-1,0.157425035697287,0.6136363636363636,0.0902948402948403
Case,MediumDAE-Leaky-150,Medium,medium-0.3-1,0.17784038833633187,0.62,0.10380835380835382
Case,MediumDAE-Leaky-200,Medium,medium-0.3-1,0.17826355799658095,0.6304347826086957,0.10380835380835382
Case,MediumDAE-Leaky-25,Medium,medium-0.3-1,0.1572612998127842,0.6086956521739131,0.0902948402948403
Case,MediumDAE-Leaky-250,Medium,medium-0.3-1,0.17784038833633187,0.62,0.10380835380835382
Case,MediumDAE-Leaky-300,Medium,medium-0.3-1,0.1780446691951117,0.625,0.10380835380835382
Case,MediumDAE-Leaky-350,Medium,medium-0.3-1,0.1780446691951117,0.625,0.10380835380835382
Case,MediumDAE-Leaky-50,Medium,medium-0.3-1,0.28029689608636976,0.62,0.1810810810810811
Case,MediumLTNFROZEN-10,Medium,medium-0.3-1,0.5220275069402932,0.4873340029014619,0.562039312039312
Case,MediumLTNFROZEN-100,Medium,medium-0.3-1,0.5522571184429754,0.5129896907216495,0.5980343980343981
Case,MediumLTNFROZEN-150,Medium,medium-0.3-1,0.5704981485638726,0.5123791102514507,0.6434889434889435
Case,MediumLTNFROZEN-200,Medium,medium-0.3-1,0.5467868137506413,0.4914965986394558,0.6160933660933661
Case,MediumLTNFROZEN-25,Medium,medium-0.3-1,0.5248113401256661,0.4595531587057011,0.6116707616707617
Case,MediumLTNFROZEN-250,Medium,medium-0.3-1,0.5477033433901854,0.4768740031897927,0.6432432432432433
Case,MediumLTNFROZEN-300,Medium,medium-0.3-1,0.5264472675462701,0.47878787878787876,0.5846437346437346
Case,MediumLTNFROZEN-350,Medium,medium-0.3-1,0.35155127345385867,0.5787037037037037,0.2524570024570025
Case,MediumLTNFROZEN-50,Medium,medium-0.3-1,0.535739755109747,0.49118129614438066,0.5891891891891892
