axis,ad,process_model,dataset_name,f1,precision,recall
Case,Bpic12DAE,BPIC12,bpic12-0.3-1,0.1476510067114094,1.0,0.07971014492753623
Case,Bpic12DAE-Leaky-10,BPIC12,bpic12-0.3-1,0.17218543046357618,1.0,0.09420289855072464
Case,Bpic12DAE-Leaky-100,BPIC12,bpic12-0.3-1,0.2193548387096774,1.0,0.12318840579710146
Case,Bpic12DAE-Leaky-150,BPIC12,bpic12-0.3-1,0.2641509433962264,1.0,0.15217391304347827
Case,Bpic12DAE-Leaky-200,BPIC12,bpic12-0.3-1,0.45810055865921784,1.0,0.2971014492753623
Case,Bpic12DAE-Leaky-25,BPIC12,bpic12-0.3-1,0.3859649122807018,1.0,0.2391304347826087
Case,Bpic12DAE-Leaky-250,BPIC12,bpic12-0.3-1,0.8305084745762712,1.0,0.7101449275362319
Case,Bpic12DAE-Leaky-300,BPIC12,bpic12-0.3-1,0.2857142857142857,1.0,0.16666666666666666
Case,Bpic12DAE-Leaky-350,BPIC12,bpic12-0.3-1,0.2641509433962264,1.0,0.15217391304347827
Case,Bpic12DAE-Leaky-400,BPIC12,bpic12-0.3-1,0.27499999999999997,1.0,0.15942028985507245
Case,Bpic12DAE-Leaky-50,BPIC12,bpic12-0.3-1,0.25316455696202533,1.0,0.14492753623188406
