axis,ad,process_model,dataset_name,f1,precision,recall
Case,Bpic12DAE,BPIC12,bpic12-0.3-1,0.6470588235294118,1.0,0.4782608695652174
Case,Bpic12DAE-Leaky-10,BPIC12,bpic12-0.3-1,0.3373493975903615,1.0,0.2028985507246377
Case,Bpic12DAE-Leaky-100,BPIC12,bpic12-0.3-1,0.24203821656050956,1.0,0.13768115942028986
Case,Bpic12DAE-Leaky-25,BPIC12,bpic12-0.3-1,0.5,1.0,0.3333333333333333
Case,Bpic12DAE-Leaky-50,BPIC12,bpic12-0.3-1,0.5846153846153846,1.0,0.41304347826086957
Case,Bpic12DAE-Leaky-75,BPIC12,bpic12-0.3-1,0.5549738219895288,1.0,0.38405797101449274
