axis,ad,process_model,dataset_name,f1,precision,recall
Case,TestDAE,P2P,p2p-0.3-1,0.4859587660728994,0.4734432234432234,0.49915397631133673
Case,TestDAE-Leaky-10,P2P,p2p-0.3-1,0.32325097235990197,0.7115384615384616,0.2091289984691
Case,TestDAE-Leaky-25,P2P,p2p-0.3-1,0.4310758536533843,0.7833333333333333,0.2973571831439852
Case,TestLTNFROZEN-10,P2P,p2p-0.3-1,0.4722664184302227,0.3931668042939719,0.5912094110063653
Case,TestLTNFROZEN-25,P2P,p2p-0.3-1,0.5644105204382709,0.5489428648171597,0.5807751188461848
