axis,ad,process_model,dataset_name,f1,precision,recall
Case,P2pDAE,P2P,p2p-0.3-1,0.3921694111567529,0.6942544459644322,0.2732656514382403
Case,P2pDAE-Leaky-10,P2P,p2p-0.3-1,0.47003958016944175,0.7317073170731707,0.34622512287486906
Case,P2pDAE-Leaky-100,P2P,p2p-0.3-1,0.37946801611037356,0.7073170731707317,0.25928611715413746
Case,P2pDAE-Leaky-150,P2P,p2p-0.3-1,0.3395090918875471,0.7297297297297297,0.22121505116428974
Case,P2pDAE-Leaky-200,P2P,p2p-0.3-1,0.3356450681327144,0.7586206896551724,0.21549431955523324
Case,P2pDAE-Leaky-25,P2P,p2p-0.3-1,0.3489229513111481,0.7037037037037037,0.2319716380630086
Case,P2pDAE-Leaky-250,P2P,p2p-0.3-1,0.43313987081114974,0.5808080808080808,0.34533881234388847
Case,P2pDAE-Leaky-300,P2P,p2p-0.3-1,0.4296531674667027,0.7142857142857143,0.3072274595117235
Case,P2pDAE-Leaky-350,P2P,p2p-0.3-1,0.44442344402653616,0.75,0.3157682700829909
Case,P2pDAE-Leaky-50,P2P,p2p-0.3-1,0.36188507757330046,0.7777777777777778,0.23579888808315203
