axis,ad,process_model,dataset_name,f1,precision,recall
Case,HugeDAE,Huge,huge-0.3-1,0.48287531228707714,0.7702702702702703,0.3516656191074796
Case,HugeDAE-Leaky-10,Huge,huge-0.3-1,0.3038914939304965,0.7666666666666666,0.18950345694531742
Case,HugeDAE-Leaky-100,Huge,huge-0.3-1,0.42675059008654603,0.8571428571428572,0.284098051539912
Case,HugeDAE-Leaky-150,Huge,huge-0.3-1,0.3195383347073372,0.75,0.20301697045883094
Case,HugeDAE-Leaky-200,Huge,huge-0.3-1,0.22811660288250143,0.7222222222222222,0.13544940289126337
Case,HugeDAE-Leaky-25,Huge,huge-0.3-1,0.5503420586224466,0.717741935483871,0.44626021370207414
Case,HugeDAE-Leaky-250,Huge,huge-0.3-1,0.2684975866071974,0.7727272727272727,0.1624764299182904
Case,HugeDAE-Leaky-300,Huge,huge-0.3-1,0.26584573748308526,0.7307692307692308,0.1624764299182904
Case,HugeDAE-Leaky-50,Huge,huge-0.3-1,0.5227597731253113,0.84375,0.3786926461345066
Case,HugeLTNFROZEN-10,Huge,huge-0.3-1,0.5529206872205225,0.6647727272727273,0.4732872407291012
Case,HugeLTNFROZEN-100,Huge,huge-0.3-1,0.53476154993652,0.538138440860215,0.5314267756128221
Case,HugeLTNFROZEN-150,Huge,huge-0.3-1,0.49594882729211087,0.7712201591511936,0.3654934003771213
Case,HugeLTNFROZEN-200,Huge,huge-0.3-1,0.27199999999999996,0.4358974358974359,0.19767441860465115
Case,HugeLTNFROZEN-25,Huge,huge-0.3-1,0.5717166299480962,0.6772151898734178,0.49465744814582024
Case,HugeLTNFROZEN-250,Huge,huge-0.3-1,0.5415553996107869,0.8365253077975376,0.40037712130735387
Case,HugeLTNFROZEN-300,Huge,huge-0.3-1,0.6035131083044705,0.6617709663686675,0.5546825895663106
Case,HugeLTNFROZEN-50,Huge,huge-0.3-1,0.6031187855534985,0.6011282333516785,0.60512256442489
