axis,ad,process_model,dataset_name,f1,precision,recall
Case,Bpic12DAE,BPIC12,bpic12-0.3-1,0.2641509433962264,1.0,0.15217391304347827
Case,Bpic12DAE-Leaky-10,BPIC12,bpic12-0.3-1,0.1476510067114094,1.0,0.07971014492753623
Case,Bpic12DAE-Leaky-100,BPIC12,bpic12-0.3-1,0.2193548387096774,1.0,0.12318840579710146
Case,Bpic12DAE-Leaky-25,BPIC12,bpic12-0.3-1,0.1842105263157895,1.0,0.10144927536231885
Case,Bpic12DAE-Leaky-50,BPIC12,bpic12-0.3-1,0.19607843137254902,1.0,0.10869565217391304
Case,Bpic12DAE-Leaky-75,BPIC12,bpic12-0.3-1,0.20779220779220778,1.0,0.11594202898550725
