axis,ad,process_model,dataset_name,f1,precision,recall
Case,SmallDAE,Small,small-0.3-1,0.4866347735819492,0.6481481481481481,0.3895596103717931
Case,SmallDAE-Leaky-10,Small,small-0.3-1,0.5040736490840578,0.6481481481481481,0.41240224996570174
Case,SmallDAE-Leaky-25,Small,small-0.3-1,0.4663352222818967,0.6481481481481481,0.36417889971189465
Case,SmallLTNFROZEN-10,Small,small-0.3-1,0.673118043453074,0.6726190476190477,0.673617780216765
Case,SmallLTNFROZEN-25,Small,small-0.3-1,0.5020745433208524,0.6566666666666667,0.4064000548772122
