axis,ad,process_model,dataset_name,f1,precision,recall
Case,Bpic12DAE,BPIC12,bpic12-0.3-1,0.7176470588235294,1.0,0.5596330275229358
Case,Bpic12DAE-Leaky-10,BPIC12,bpic12-0.3-1,0.7176470588235294,1.0,0.5596330275229358
Case,Bpic12DAE-Leaky-100,BPIC12,bpic12-0.3-1,0.7176470588235294,1.0,0.5596330275229358
Case,Bpic12DAE-Leaky-150,BPIC12,bpic12-0.3-1,0.7176470588235294,1.0,0.5596330275229358
Case,Bpic12DAE-Leaky-200,BPIC12,bpic12-0.3-1,0.08771929824561404,1.0,0.045871559633027525
Case,Bpic12DAE-Leaky-25,BPIC12,bpic12-0.3-1,0.7176470588235294,1.0,0.5596330275229358
Case,Bpic12DAE-Leaky-250,BPIC12,bpic12-0.3-1,0.7176470588235294,1.0,0.5596330275229358
Case,Bpic12DAE-Leaky-300,BPIC12,bpic12-0.3-1,0.7176470588235294,1.0,0.5596330275229358
Case,Bpic12DAE-Leaky-350,BPIC12,bpic12-0.3-1,0.7176470588235294,1.0,0.5596330275229358
Case,Bpic12DAE-Leaky-400,BPIC12,bpic12-0.3-1,0.7176470588235294,1.0,0.5596330275229358
Case,Bpic12DAE-Leaky-50,BPIC12,bpic12-0.3-1,0.7176470588235294,1.0,0.5596330275229358
