axis,ad,process_model,dataset_name,f1,precision,recall
Case,Bpic12DAE,BPIC12,bpic12-0.3-1,0.8305084745762712,1.0,0.7101449275362319
Case,Bpic12LTN,BPIC12,bpic12-0.3-1,0.5396825396825397,1.0,0.3695652173913043
Case,Bpic12LTNFROZEN,BPIC12,bpic12-0.3-1,0.8259109311740891,0.9357798165137615,0.7391304347826086
Case,Bpic12LTNFROZEN-10,BPIC12,bpic12-0.3-1,0.4046242774566474,1.0,0.2536231884057971
Case,Bpic12LTNFROZEN-100,BPIC12,bpic12-0.3-1,0.3571428571428571,1.0,0.21739130434782608
Case,Bpic12LTNFROZEN-150,BPIC12,bpic12-0.3-1,0.5,1.0,0.3333333333333333
Case,Bpic12LTNFROZEN-200,BPIC12,bpic12-0.3-1,0.8489795918367347,0.9719626168224299,0.7536231884057971
Case,Bpic12LTNFROZEN-25,BPIC12,bpic12-0.3-1,0.4046242774566474,1.0,0.2536231884057971
Case,Bpic12LTNFROZEN-250,BPIC12,bpic12-0.3-1,0.4228571428571429,1.0,0.26811594202898553
Case,Bpic12LTNFROZEN-300,BPIC12,bpic12-0.3-1,0.45810055865921784,1.0,0.2971014492753623
Case,Bpic12LTNFROZEN-350,BPIC12,bpic12-0.3-1,0.5,1.0,0.3333333333333333
Case,Bpic12LTNFROZEN-400,BPIC12,bpic12-0.3-1,0.8354430379746834,1.0,0.717391304347826
Case,Bpic12LTNFROZEN-50,BPIC12,bpic12-0.3-1,0.39534883720930236,1.0,0.2463768115942029
