axis,ad,process_model,dataset_name,f1,precision,recall
Case,Bpic12DAE,BPIC12,bpic12-0.3-1,0.62,1.0,0.4492753623188406
Case,Bpic12DAE-Leaky-10,BPIC12,bpic12-0.3-1,0.48351648351648346,1.0,0.3188405797101449
Case,Bpic12DAE-Leaky-100,BPIC12,bpic12-0.3-1,0.39534883720930236,1.0,0.2463768115942029
Case,Bpic12DAE-Leaky-25,BPIC12,bpic12-0.3-1,0.62,1.0,0.4492753623188406
Case,Bpic12DAE-Leaky-50,BPIC12,bpic12-0.3-1,0.5473684210526316,1.0,0.37681159420289856
Case,Bpic12DAE-Leaky-75,BPIC12,bpic12-0.3-1,0.4751381215469613,1.0,0.3115942028985507
