axis,ad,process_model,dataset_name,f1,precision,recall
Case,Bpic12DAE,BPIC12,bpic12-0.3-1,0.5549738219895288,1.0,0.38405797101449274
Case,Bpic12LTN,BPIC12,bpic12-0.3-1,0.5846153846153846,1.0,0.41304347826086957
Case,Bpic12LTNFROZEN,BPIC12,bpic12-0.3-1,0.41379310344827586,1.0,0.2608695652173913
Case,Bpic12LTNFROZEN-10,BPIC12,bpic12-0.3-1,0.5081081081081081,1.0,0.34057971014492755
Case,Bpic12LTNFROZEN-100,BPIC12,bpic12-0.3-1,0.3571428571428571,1.0,0.21739130434782608
Case,Bpic12LTNFROZEN-150,BPIC12,bpic12-0.3-1,0.7339449541284404,1.0,0.5797101449275363
Case,Bpic12LTNFROZEN-200,BPIC12,bpic12-0.3-1,0.44943820224719105,1.0,0.2898550724637681
Case,Bpic12LTNFROZEN-25,BPIC12,bpic12-0.3-1,0.37647058823529417,1.0,0.2318840579710145
Case,Bpic12LTNFROZEN-250,BPIC12,bpic12-0.3-1,0.44943820224719105,1.0,0.2898550724637681
Case,Bpic12LTNFROZEN-300,BPIC12,bpic12-0.3-1,0.4666666666666667,1.0,0.30434782608695654
Case,Bpic12LTNFROZEN-350,BPIC12,bpic12-0.3-1,0.2641509433962264,1.0,0.15217391304347827
Case,Bpic12LTNFROZEN-400,BPIC12,bpic12-0.3-1,0.5240641711229946,1.0,0.35507246376811596
Case,Bpic12LTNFROZEN-50,BPIC12,bpic12-0.3-1,0.3170731707317073,1.0,0.18840579710144928
