axis,ad,process_model,dataset_name,f1,precision,recall
Case,HugeDAE,Huge,huge-0.3-1,0.5248524590163935,0.7016129032258065,0.41923318667504716
Case,HugeDAE-Leaky-10,Huge,huge-0.3-1,0.37342648918870086,0.8,0.24355751099937148
Case,HugeDAE-Leaky-100,Huge,huge-0.3-1,0.32385010652964036,0.8,0.20301697045883094
Case,HugeDAE-Leaky-150,Huge,huge-0.3-1,0.3841894497453898,0.76,0.257071024512885
Case,HugeDAE-Leaky-200,Huge,huge-0.3-1,0.30535862259460456,0.7857142857142857,0.18950345694531742
Case,HugeDAE-Leaky-25,Huge,huge-0.3-1,0.41260782434434085,0.868421052631579,0.2705845380263985
Case,HugeDAE-Leaky-250,Huge,huge-0.3-1,0.4561135395714173,0.8541666666666667,0.31112507856693905
Case,HugeDAE-Leaky-300,Huge,huge-0.3-1,0.35627372724617934,0.7894736842105263,0.23004399748585797
Case,HugeDAE-Leaky-50,Huge,huge-0.3-1,0.5473620701213381,0.7076923076923077,0.44626021370207414
Case,HugeLTNFROZEN-10,Huge,huge-0.3-1,0.3805956624176886,0.8235294117647058,0.24748585795097422
Case,HugeLTNFROZEN-100,Huge,huge-0.3-1,0.5941725900914867,0.6559139784946236,0.5430546825895664
Case,HugeLTNFROZEN-150,Huge,huge-0.3-1,0.4471854242311206,0.7797619047619048,0.3134820867379007
Case,HugeLTNFROZEN-200,Huge,huge-0.3-1,0.583014360449962,0.5677236971484759,0.5991514770584538
Case,HugeLTNFROZEN-25,Huge,huge-0.3-1,0.5738838654034006,0.6058802308802309,0.5450974230043997
Case,HugeLTNFROZEN-250,Huge,huge-0.3-1,0.5276606064169079,0.780128205128205,0.3986486486486487
Case,HugeLTNFROZEN-300,Huge,huge-0.3-1,0.5658490712705307,0.7655677655677655,0.4487743557510999
Case,HugeLTNFROZEN-50,Huge,huge-0.3-1,0.5510697507818205,0.675,0.4655876807039598
