axis,ad,process_model,dataset_name,f1,precision,recall
Case,LargeDAE,Large,large-0.3-1,0.2821115622996367,0.5978260869565217,0.18461538461538463
Case,LargeDAE-Leaky-10,Large,large-0.3-1,0.34812286689419797,0.6,0.2451923076923077
Case,LargeDAE-Leaky-100,Large,large-0.3-1,0.30203452527743524,0.575,0.2048076923076923
Case,LargeDAE-Leaky-150,Large,large-0.3-1,0.30742829957863255,0.5763888888888888,0.20961538461538462
Case,LargeDAE-Leaky-200,Large,large-0.3-1,0.3159991148484178,0.5930232558139534,0.2153846153846154
Case,LargeDAE-Leaky-25,Large,large-0.3-1,0.26957070707070707,0.5865384615384616,0.175
Case,LargeDAE-Leaky-250,Large,large-0.3-1,0.3464566929133858,0.5641025641025641,0.25
Case,LargeDAE-Leaky-300,Large,large-0.3-1,0.3600030528136766,0.6022727272727273,0.2567307692307692
Case,LargeDAE-Leaky-350,Large,large-0.3-1,0.361544782251438,0.5714285714285714,0.2644230769230769
Case,LargeDAE-Leaky-50,Large,large-0.3-1,0.3035479632063075,0.6111111111111112,0.20192307692307693
Case,LargeLTNFROZEN-10,Large,large-0.3-1,0.590308087805425,0.6435643564356436,0.5451923076923076
Case,LargeLTNFROZEN-100,Large,large-0.3-1,0.5798816568047337,0.6282051282051282,0.5384615384615384
Case,LargeLTNFROZEN-150,Large,large-0.3-1,0.5662496086925788,0.6385542168674698,0.5086538461538461
Case,LargeLTNFROZEN-200,Large,large-0.3-1,0.6352418558736426,0.6358695652173914,0.6346153846153846
Case,LargeLTNFROZEN-25,Large,large-0.3-1,0.628822629969419,0.625,0.6326923076923077
Case,LargeLTNFROZEN-250,Large,large-0.3-1,0.6847628672183628,0.6464646464646464,0.7278846153846154
Case,LargeLTNFROZEN-300,Large,large-0.3-1,0.5718911270184786,0.635,0.5201923076923077
Case,LargeLTNFROZEN-350,Large,large-0.3-1,0.6738969174971159,0.5611823241693372,0.8432692307692308
Case,LargeLTNFROZEN-50,Large,large-0.3-1,0.6419420976865248,0.6359223300970873,0.648076923076923
