axis,ad,process_model,dataset_name,f1,precision,recall
Case,Bpic12DAE,BPIC12,bpic12-0.3-1,0.44943820224719105,1.0,0.2898550724637681
Case,Bpic12LTN,BPIC12,bpic12-0.3-1,0.5989847715736041,1.0,0.427536231884058
Case,Bpic12LTNFROZEN,BPIC12,bpic12-0.3-1,0.5319148936170213,1.0,0.36231884057971014
Case,Bpic12LTNFROZEN-10,BPIC12,bpic12-0.3-1,0.3859649122807018,1.0,0.2391304347826087
Case,Bpic12LTNFROZEN-100,BPIC12,bpic12-0.3-1,0.3571428571428571,1.0,0.21739130434782608
Case,Bpic12LTNFROZEN-150,BPIC12,bpic12-0.3-1,0.8489795918367347,0.9719626168224299,0.7536231884057971
Case,Bpic12LTNFROZEN-200,BPIC12,bpic12-0.3-1,0.3668639053254438,1.0,0.2246376811594203
Case,Bpic12LTNFROZEN-25,BPIC12,bpic12-0.3-1,0.3859649122807018,1.0,0.2391304347826087
Case,Bpic12LTNFROZEN-250,BPIC12,bpic12-0.3-1,0.3571428571428571,1.0,0.21739130434782608
Case,Bpic12LTNFROZEN-300,BPIC12,bpic12-0.3-1,0.4918032786885246,1.0,0.32608695652173914
Case,Bpic12LTNFROZEN-350,BPIC12,bpic12-0.3-1,0.4406779661016949,1.0,0.2826086956521739
Case,Bpic12LTNFROZEN-400,BPIC12,bpic12-0.3-1,0.5081081081081081,1.0,0.34057971014492755
Case,Bpic12LTNFROZEN-50,BPIC12,bpic12-0.3-1,0.85140562248996,0.954954954954955,0.7681159420289855
